municipality_key,municipality,area,population
13000999,Küstengewässer einschl. Anteil am Festlandsockel,1,0
16061086,Sickerode,2,143
07232130,Waldhof-Falkenstein,3,21
01053120,Sierksrade,4,441
01054048,Holm,4,93
07141082,Lollschied,4,185
07143055,Nomborn,4,714
07231202,Breit,4,292
08315003,Au,4,1479
09676153,Rüdenau,4,736
16071038,Kiliansroda,4,178
07143028,Helferskirchen,5,1198
07335012,Hauptstuhl,5,1176
07336098,Theisbergstegen,5,699
07340213,Kleinbundenbach,5,431
07140024,Büchenbeuren,6,1746
16075048,Kirschkau,6,200
07337026,Frankweiler,7,844
01057072,Schlesen,8,562
07337044,Insheim,8,2166
14626410,Oppach,8,2311
07338017,Limburgerhof,9,11578
08327012,Durchhausen,9,1024
14521510,Scheibenberg; Stadt,9,2022
01059163,Stangheck,10,231
07235124,Schöndorf,10,794
08226066,Reichartshausen,10,2103
09574146,Ottensoos,10,2025
16077048,Treben,10,1161
03456004,Esche,11,577
01059026,Fahrdorf,12,2579
07331072,Wöllstein,12,4584
13072028,Dreetz,12,186
07233042,Mehren,13,1458
08315013,Bötzingen,13,5381
03159008,Bühren,14,521
09472176,Plankenfels,14,864
14627040,Glaubitz,14,2079
16061097,Uder,14,2682
03458011,Kirchseelte,15,1172
07233027,Gillenfeld,15,1430
08317068,Lauf,15,3993
13075129,Stolpe auf Usedom,15,369
01059131,Jerrishoe,16,1017
07339062,Waldalgesheim,16,4187
09776126,Sigmarszell,16,2926
09173130,Icking,17,3670
16070012,Elleben,17,891
14626050,Bertsdorf-Hörnitz,18,2042
16076069,Seelingstädt,18,1286
08226038,Ladenburg; Stadt,19,12076
09187168,Rimsting,20,3963
09575118,Diespeck,21,3776
08316053,Rheinhausen,22,4045
09184145,Taufkirchen,22,17941
09278182,Salching,22,2749
08315059,Ihringen,23,6198
01059073,Schaalby,25,1586
03251032,Schwaförden,26,1488
03353015,Handeloh,27,2540
09472451,Bischofsgrüner Forst,27,0
09777112,Biessenhofen,27,4219
06432022,Seeheim-Jugenheim,28,16451
12069680,Wollin,28,846
01058090,Kosel,30,1388
07340031,Merzalben,30,1196
09575122,Ergersheim,30,1025
09185150,Oberhausen,32,3204
03254017,Giesen,34,9700
03358003,Böhme,37,919
06531014,Pohlheim; Stadt,38,17872
08337013,Bernau im Schwarzwald,38,1956
12066226,Neu-Seeland/Nowa Jazorina,38,571
09477124,Kasendorf; M,39,2435
12064349,Neulewin,41,932
14626490,Schleife / Slepo,42,2410
03254028,Sarstedt; Stadt,43,19423
09279112,Dingolfing; St,44,20191
09471131,Frensdorf,44,5167
03254020,Harsum,50,11496
15088150,Kabelsketal,51,8937
14626030,Bernstadt a. d. Eigen; Stadt,52,3213
09186152,Schweitenkirchen,53,5491
03460005,Holdorf,55,7455
06535005,Gemünden (Felda),55,2711
09189145,Siegsdorf,57,8377
03151036,Wahrenholz,58,3700
14521110,Breitenbrunn/Erzgeb.,60,5090
05382068,Troisdorf; Stadt,62,75222
14729410,Wurzen; Stadt,69,16238
05154052,Straelen; Stadt,74,16232
09777169,Schwangau,76,3325
15081045,Beetzendorf,98,3083
03256030,Steyerberg; Flecken,102,5218
05958036,Olsberg; Stadt,118,14410
05566076,Rheine; Stadt,145,76948
03358501,Osterheide; gemfr. Bezirk,179,4084
12070302,Plattenburg,202,3290
15001000,Dessau-Roßlau; Stadt,245,78731
03457501,Insel Lütje Hörn; gemfr. Gebiet,0.31,0
09472470,Warmensteinacher Forst-Nord,0.32,0
07133062,Martinstein,0.39,257
01059002,Arnis; Stadt,0.45,268
09273453,Hacklberg,0.56,0
07132001,Almersbach,0.61,411
07132119,Ziegenhain,0.71,165
07141087,Misselberg,0.74,86
07135069,Nehren,0.76,97
07141021,Charlottenberg,0.76,154
09678452,Geiersberg,0.78,0
07132078,Niedersteinebach,0.79,205
07232276,Niederlauch,0.79,35
07133085,Roth,0.82,272
01061035,Heiligenstedtenerkamp,0.85,729
09672451,Dreistelzer Forst,0.85,0
07232104,Philippsheim,0.89,84
09473454,Köllnholz,0.9,0
07232273,Neuheilenbach,0.97,262
07235077,Longen,0.97,116
07232006,Auw an der Kyll,0.98,115
07133075,Oberstreit,1.01,285
10042999,Deutsch-luxemburgisches Hoheitsgebiet,1.03,0
07235129,Sommerau,1.04,73
07133028,Eckenroth,1.08,221
07233228,Nitz,1.08,27
07232309,Sengerich,1.09,28
07133019,Burgsponheim,1.1,227
07133014,Boos,1.11,366
07132056,Idelberg,1.13,66
09774452,Winzerwald,1.16,0
07132029,Eulenberg,1.17,47
07337065,Ranschbach,1.19,618
07135081,Tellig,1.21,293
07141035,Ehr,1.21,76
07232249,Kinzenburg,1.22,50
09678454,Nonnenkloster,1.22,0
07333074,Standenbühl,1.25,190
07132101,Schutzbach,1.26,369
03158502,Barnstorf-Warle; gemfr. Gebiet,1.29,0
07233213,Gunderath,1.29,107
09576455,Soos,1.3,0
01051073,Marnerdeich,1.31,401
07233221,Kötterichen,1.31,126
07143040,Kammerforst,1.33,240
07232129,Usch,1.33,58
16061028,Eichstruth,1.33,87
07143313,Winkelbach,1.34,242
07133104,Tiefenthal,1.35,125
07138048,Niederhofen,1.38,434
07140098,Mühlpfad,1.39,63
07141027,Dienethal,1.39,229
07232089,Niedergeckler,1.39,51
09572120,Buckenhof,1.39,3067
07132027,Ersfeld,1.4,68
07134067,Oberwörresbach,1.4,106
07143038,Hundsdorf,1.4,436
07232315,Strickscheid,1.41,26
07231020,Diefenbach,1.42,83
16074061,Nausnitz,1.42,80
07141125,Schiesheim,1.43,256
16076014,Crimla,1.44,271
07132020,Dickendorf,1.45,334
07231019,Dhronecken,1.45,123
07133068,Münchwald,1.46,281
07143211,Bölsberg,1.46,216
07143219,Enspel,1.46,276
09678456,Vollburg,1.46,0
07140089,Maisborn,1.47,126
07333005,Bennhausen,1.48,157
07233243,Ueß,1.49,47
01053070,Köthel,1.52,287
07140115,Oppertshausen,1.52,122
07143227,Großseifen,1.52,612
07231120,Starkenburg,1.52,231
07232248,Kickeshausen,1.53,45
01061057,Krempermoor,1.55,538
07231021,Dierfeld,1.55,9
07232083,Mülbach,1.55,99
07140151,Todenroth,1.56,78
07336035,Hausweiler,1.56,40
07143316,Zehnhausen bei Wallmerod,1.58,188
07340021,Hirschthal,1.58,84
01054158,Witsum,1.59,47
07143502,Mähren,1.59,213
07235120,Schleich,1.59,243
07336089,Rutsweiler am Glan,1.59,307
07132035,Forstmehren,1.61,150
07333056,Oberwiesen,1.61,546
16074038,Hartmannsdorf,1.62,672
01062033,Hohenfelde,1.63,46
07232277,Niederpierscheid,1.64,36
07138055,Ockenfels,1.66,1062
07132004,Bachenberg,1.67,102
07143052,Neuhäusel,1.67,2044
07143251,Kuhnhöfen,1.67,156
09576452,Dechenwald,1.67,0
07132061,Kettenhausen,1.68,299
07134078,Schmißberg,1.68,205
16074082,Scheiditz,1.68,57
01054162,Wobbenbüll,1.69,469
07135007,Beilstein,1.69,140
09673453,Forst Schmalwasser-Nord,1.69,0
01061008,Bekdorf,1.7,103
07133088,Sankt Katharinen,1.7,387
07232261,Lierfeld,1.71,87
07232032,Enzen,1.71,37
